Year, thinness  1-19 years,Schooling
2000,5.147513812154696,10.51271676300578
2001,4.957458563535911,10.95028901734104
2002,5.166298342541436,11.140462427745664
2003,4.924309392265193,11.308092485549132
2004,4.93646408839779,11.547398843930637
2005,5.099447513812155,11.675722543352602
2006,5.115469613259668,11.91791907514451
2007,5.034806629834254,12.03815028901734
2008,4.907182320441989,12.176300578034683
2009,4.786740331491712,12.310982658959539
2010,4.659116022099448,12.446820809248557
2011,4.594475138121547,12.604624277456647
2012,4.584530386740331,12.7242774566474
2013,4.47037037037037,12.688333333333334
2014,4.532596685082873,12.88728323699422
2015,4.534806629834254,12.927167630057804
