Year,Life expectancy ,Schooling
2000,66.75027322404371,10.51271676300578
2001,67.12896174863388,10.95028901734104
2002,67.35136612021857,11.140462427745664
2003,67.43333333333332,11.308092485549132
2004,67.6464480874317,11.547398843930637
2005,68.20928961748633,11.675722543352602
2006,68.66775956284154,11.91791907514451
2007,69.0360655737705,12.03815028901734
2008,69.42786885245901,12.176300578034683
2009,69.93825136612023,12.310982658959539
2010,70.04863387978142,12.446820809248557
2011,70.65409836065574,12.604624277456647
2012,70.91693989071038,12.7242774566474
2013,71.23606557377049,12.688333333333334
2014,71.53661202185793,12.88728323699422
2015,71.61693989071038,12.927167630057804
