Year,Life expectancy ,Adult Mortality
2000,66.75027322404371,181.47540983606558
2001,67.12896174863388,175.1693989071038
2002,67.35136612021857,171.43715846994536
2003,67.43333333333332,169.13114754098362
2004,67.6464480874317,186.2622950819672
2005,68.20928961748633,167.63387978142077
2006,68.66775956284154,170.40437158469945
2007,69.0360655737705,159.8087431693989
2008,69.42786885245901,174.5191256830601
2009,69.93825136612023,163.39344262295083
2010,70.04863387978142,161.86338797814207
2011,70.65409836065574,156.53551912568307
2012,70.91693989071038,148.79234972677597
2013,71.23606557377049,148.76502732240436
2014,71.53661202185793,148.68852459016392
2015,71.61693989071038,152.86338797814207
