Year,Life expectancy , BMI 
2000,66.75027322404371,34.42486187845304
2001,67.12896174863388,36.135911602209944
2002,67.35136612021857,37.110497237569064
2003,67.43333333333332,36.440331491712705
2004,67.6464480874317,36.572375690607736
2005,68.20928961748633,35.607734806629836
2006,68.66775956284154,37.53425414364641
2007,69.0360655737705,36.97790055248619
2008,69.42786885245901,38.22541436464088
2009,69.93825136612023,39.58342541436464
2010,70.04863387978142,38.51381215469613
2011,70.65409836065574,39.84972375690608
2012,70.91693989071038,40.09944751381215
2013,71.23606557377049,42.111640211640214
2014,71.53661202185793,41.03093922651934
2015,71.61693989071038,42.75414364640884
